0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,labels
-1.5,0.0,-1.0216191431776205e-15,3.1229505886502565e-17,3.290037168093477e-16,1.7724327210440785e-16,-1.0756465044435256e-15,1.5547324686961757e-15,-1.284961051204272e-15,1.0216191431776205e-15,-3.1229505886502565e-17,-3.290037168093477e-16,-1.7724327210440785e-16,1.0756465044435256e-15,-1.5547324686961757e-15,1.284961051204272e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004056539537665e-18,1.004056539537665e-18,1.0,1.0,2
-1.5,0.012500000186264515,-4.0271922073365613e-16,-1.7771858993671552e-16,-1.6862165460655135e-16,-3.262115256382831e-16,3.7201006770073107e-16,-6.512962856984811e-16,-1.9105162306288216e-17,2.554609546667199e-16,4.0824947237649986e-16,-4.128939922543116e-16,8.780677050461059e-17,7.85567935262343e-17,-6.782886846286339e-16,-2.0985671402143818e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4364291518845455e-20,-2.361222213708651e-19,1.0,1.0,2
-1.5,0.02500000037252903,-6.9795820910581e-18,-8.301216035901232e-17,-2.264136273367486e-16,-4.1442672484214786e-16,5.21033100443492e-16,2.7598016899527773e-16,-3.884347512320412e-16,-2.3468072184150977e-16,-2.7291598429519345e-17,-2.834439586286866e-16,8.778081688571112e-17,2.351445253196907e-16,1.8486519220115727e-16,1.8196205294889215e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5796729232891483e-20,1.4814544984413596e-19,1.0,1.0,2
-1.5,0.03750000149011612,-7.932937889486985e-16,-1.0058675729066917e-16,-1.0914934718001389e-16,6.434877536555398e-17,9.007256378618114e-17,1.824617891528824e-16,4.2140564105281285e-16,4.260737455042497e-16,6.125186409171464e-16,2.9196659238572256e-16,-1.8419610234727537e-16,-2.161573553646995e-16,1.978549850777838e-16,1.5049549364244414e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.807877938101835e-20,-3.4944768427534035e-20,1.0,1.0,2
-1.5,0.05000000074505806,7.323081049606585e-16,2.6432707021003484e-17,-1.0141855026231779e-16,-1.1070456584562179e-16,7.290543337728995e-16,-2.742385898463841e-16,1.3524449337356305e-16,8.546042968371207e-17,-1.7682982738191915e-16,-3.517905839214931e-17,4.760698916857144e-16,4.4858411591612067e-17,2.951990289311226e-16,-3.7711542644140836e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.19578632026657e-21,-2.4921297494997618e-20,1.0,1.0,2
-1.5,0.0625,-6.929287491494181e-16,2.306383100402978e-16,-2.046048450506655e-16,1.8151262256103494e-16,-7.803445213046422e-17,9.711091788694174e-17,6.763298679985492e-17,6.929287491494181e-16,-2.306383100402978e-16,2.046048450506655e-16,-1.8151262256103494e-16,7.803445213046422e-17,-9.711091788694174e-17,-6.763298679985492e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0836022597462504e-18,-1.0836022597462504e-18,1.0,1.0,2
-1.5,0.07500000298023224,2.0261945276186063e-16,1.7491234331268242e-16,6.887860168835157e-17,-2.2199206241252194e-16,6.120851321017197e-17,-1.2427635638379573e-16,1.4346489518710684e-16,-5.608349139371756e-16,-7.304181494622076e-17,4.629893206999438e-16,-8.732594530378454e-18,-3.333967671634984e-17,2.949514835522875e-16,-6.565491340510991e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8674649228847362e-20,2.4898357773283476e-20,1.0,1.0,2
-1.5,0.08749999850988388,-2.243967095404381e-16,-9.603159277134785e-17,-3.3962950690463647e-16,4.728286142339274e-17,6.388233814430267e-17,3.244306123969013e-16,-4.2884822839276077e-16,-4.3098796596642314e-16,9.574768453278495e-17,-4.389837584651567e-17,1.5660718046401874e-16,3.0325825625667163e-16,-1.9733014228784135e-16,-1.0314958782148506e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.621471007030837e-20,8.505408715981214e-21,1.0,1.0,2
-1.5,0.10000000149011612,-1.1603072887029153e-16,9.00891007809873e-17,-8.405161536908116e-17,-1.484873505780716e-16,4.906391760158436e-16,3.9630834599324355e-16,-2.9048738169224094e-16,1.3363249703070952e-16,4.5188158871000206e-17,-3.017355292455248e-16,2.7287325214474896e-16,2.0999231870233768e-16,5.93090352085093e-17,1.7426171613007271e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.675583387290004e-21,-3.803077169002268e-21,1.0,1.0,2
-1.5,0.11249999701976776,-1.9708565416855028e-16,1.6390493840487598e-16,9.32587510091721e-17,-2.3002920070699337e-17,2.6650334931443735e-17,-1.775871542461033e-16,4.715217681277671e-17,4.775504523379557e-16,-1.0638184569587277e-16,-1.6878957888834451e-16,5.170444222948715e-16,-4.680718360208249e-16,1.3077418435019988e-16,-2.724045252875621e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.297640959191626e-20,1.774701948624456e-20,1.0,1.0,2
-1.5,0.125,-2.6401892557952414e-16,2.177064065716602e-16,8.178076635960668e-17,-1.4142915737749953e-16,3.369923227629194e-16,-3.1456296972896434e-16,4.3549441947383243e-16,2.6401892557952414e-16,-2.177064065716602e-16,-8.178076635960668e-17,1.4142915737749953e-16,-3.369923227629194e-16,3.1456296972896434e-16,-4.3549441947383243e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.944313396255689e-19,4.944313396255689e-19,1.0,1.0,2
-1.5,0.13750000298023224,3.091261564081146e-16,-4.2121680564513435e-16,-2.960654112872657e-17,4.690869520685499e-16,2.8063538266404856e-16,2.591094167381198e-16,5.039056177939772e-16,3.2673358910136736e-16,-1.1202676442395105e-16,2.0237938509576304e-16,-1.606389249440512e-16,1.9111229841517415e-16,-2.0229714349054057e-16,-2.6251312930115505e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.485741354465245e-21,2.177779467862017e-20,1.0,1.0,2
-1.5,0.15000000596046448,3.734799080922337e-16,-1.1577673810012344e-16,-1.255240491499911e-16,-2.965747891084759e-17,5.731667607371325e-16,3.711027895351033e-16,-1.3260697835960097e-16,-2.1775826086989993e-16,1.958974125273403e-16,3.395006255477558e-16,-2.407766426006091e-17,-1.3416541310343048e-16,-9.228940782782325e-17,-1.8611160118304197e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.230945503533431e-21,-2.6663284935071742e-20,1.0,1.0,2
-1.5,0.16249999403953552,1.5331886091992362e-15,1.106813187616866e-16,1.5778515183074326e-16,2.7956812115050814e-17,-1.0154603202960201e-17,2.44024871678264e-16,-2.7366213098621833e-16,3.17327976436378e-16,-2.2271953136531538e-16,1.8362008023847305e-16,2.5919893753273274e-16,4.50103355533805e-16,-3.454742368999412e-18,1.3560229861932899e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.769106299117264e-20,2.3177662156046923e-20,1.0,1.0,2
-1.5,0.17499999701976776,-1.4436481475400533e-16,-1.3789902845580903e-16,4.2885566640082885e-16,-1.4783907920584645e-16,-2.0955928634294372e-16,-2.1392558236736203e-16,1.7986588463245418e-16,5.137633342945636e-17,2.3376981731607657e-16,5.794704593399378e-17,5.201330749974751e-16,2.0069828939325927e-16,-3.2212265937387016e-16,-5.465448990167341e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.4256005492953942e-21,-2.2189646613140616e-20,1.0,1.0,2
-1.5,0.1875,-7.426544535926922e-16,8.521036041139198e-16,-8.33815792205785e-16,8.264882160582065e-16,-6.331787803523037e-16,5.46656482372645e-16,-3.353981802864072e-16,7.426544535926922e-16,-8.521036041139198e-16,8.33815792205785e-16,-8.264882160582065e-16,6.331787803523037e-16,-5.46656482372645e-16,3.353981802864072e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9489819578192336e-19,3.9489819578192336e-19,1.0,1.0,2
-1.5,0.20000000298023224,3.6748908228432045e-16,1.447931884321894e-16,-2.4841453059190324e-17,-1.0229724106597572e-16,-2.209666760903114e-16,-9.693278288766722e-17,-7.771195591632572e-18,-4.3986063608891194e-16,-8.849364805038482e-17,-3.578369300921209e-16,-1.9339777859532346e-16,-4.386244709117331e-16,-8.135400072053342e-17,3.6695910435713527e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.314133051523517e-20,-4.991002030733789e-22,1.0,1.0,2
-1.5,0.21250000596046448,4.3972190797401944e-16,8.40778032455301e-16,-2.852114252220307e-16,-3.916851872275704e-16,7.981957406680266e-17,1.8191000343602787e-17,-2.3965629925279993e-16,-4.0866271857564155e-16,1.4098537828758728e-16,8.936138036528765e-18,1.984086666926023e-17,5.912177739969505e-16,-2.0689888820451597e-16,-1.4774344389214552e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.1469898015574822e-20,6.590760247733717e-21,1.0,1.0,2
-1.5,0.22499999403953552,1.0625566425651148e-16,1.0052853701043524e-16,2.489667067380069e-17,-2.0140756037257654e-16,4.04693449392914e-17,3.2964768684238757e-17,1.13535859498603e-16,-2.6941195788491266e-16,3.29841776501317e-16,-2.673629322459453e-16,3.526226614432724e-17,-5.0882556234598954e-17,-6.667950563393239e-17,-3.8795065205035067e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9510652562738578e-20,-1.919290050083171e-20,1.0,1.0,2
-1.5,0.23749999701976776,-6.559251751714381e-17,-1.2152529925023216e-16,-8.253590681999573e-16,9.043788644935396e-17,-4.428375598518168e-17,2.3795448433031294e-17,2.0991873271504496e-16,-7.287951416910397e-16,1.9493139792077637e-17,5.895045439820103e-16,4.994309081697553e-17,-1.0798238062415878e-16,-3.0653614141364777e-16,-6.099590132296624e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.1868557873353467e-20,-4.3953411533090064e-20,1.0,1.0,2
-1.5,0.25,-5.382527111609105e-17,2.0176541855790168e-16,-7.640631583949854e-17,-2.9415977740748444e-18,5.570993927606657e-17,-1.394411842851835e-16,2.5049162412341575e-16,5.382527111609105e-17,-2.0176541855790168e-16,7.640631583949854e-17,2.9415977740748444e-18,-5.570993927606657e-17,1.394411842851835e-16,-2.5049162412341575e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.201139890774885e-19,-6.201139890774885e-19,1.0,1.0,2
-1.5,0.26249998807907104,-2.778362299409487e-16,-2.1629387325299525e-16,-3.945590376687062e-16,1.741040488878752e-16,1.5788363264575137e-16,5.635577542856837e-17,1.7808246999690005e-16,-2.7686791246355944e-16,7.121728083154437e-16,-3.130021791747503e-16,1.3400745469365735e-16,1.0117466433051266e-16,-2.2946114600185116e-16,-1.381030839867585e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4904216873128556e-20,1.1720572515269602e-20,1.0,1.0,2
-1.5,0.2750000059604645,5.509233049653202e-16,-1.210438404290569e-16,-3.9153509034233895e-17,-1.2077320016751935e-16,6.746468945960549e-18,-1.0891839173554418e-16,1.7565059870066355e-16,2.932825110088413e-16,-6.154641979912233e-16,-4.648528725932421e-17,-4.3950710571255167e-16,3.382700719638525e-16,2.967702485784997e-16,2.376000208942217e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.250722580722416e-20,-3.5686523254795356e-20,1.0,1.0,2
-1.5,0.2874999940395355,2.817515868000725e-16,4.6875650334000235e-16,2.7607100004398095e-17,1.1441979959042818e-17,1.353590545796792e-16,3.701388395713483e-16,-3.2323597830391754e-16,4.14294799460613e-16,-1.6795768665502238e-16,-7.06573973473652e-17,-5.173103377007502e-16,2.9488205332039226e-16,4.423702689801733e-17,-3.953556390683744e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.411722883729251e-20,1.9341916199610213e-21,1.0,1.0,2
-1.5,0.30000001192092896,4.061320488270417e-16,-2.5866708025119585e-16,-1.9624572835711903e-16,4.0205572923816e-16,-6.258036909503401e-17,-5.993276909504368e-17,-7.750932479039105e-17,-5.900939200946217e-16,4.900879163858586e-16,-3.481127536296251e-16,-6.721678260284273e-17,9.994943117230931e-17,8.565293777331031e-17,3.2760219491899704e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7926255954052877e-20,1.7253762962808667e-20,1.0,1.0,2
-1.5,0.3125,-2.4164547672008785e-16,-2.863762477257381e-17,2.2773425758063645e-16,-2.000450284675792e-16,-1.0495898254571826e-16,1.2854775824834195e-16,-5.503371581658202e-17,2.4164547672008785e-16,2.863762477257381e-17,-2.2773425758063645e-16,2.000450284675792e-16,1.0495898254571826e-16,-1.2854775824834195e-16,5.503371581658202e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.450274985076333e-18,1.450274985076333e-18,1.0,1.0,2
-1.5,0.32499998807907104,1.491095492173891e-16,-1.0038419068482228e-16,7.250817757200565e-17,4.915673123677975e-16,5.172700341525841e-18,1.3426508505852067e-16,-9.287344366239999e-17,-2.904506416381538e-16,-7.958333790130241e-17,6.165606424367746e-17,6.015981362957724e-17,1.23703418004317e-16,1.4978849906417262e-16,-4.7475098197750064e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7838918929181775e-20,8.988995142627193e-21,1.0,1.0,2
-1.5,0.3375000059604645,1.6767739815882002e-16,-6.87824303616137e-17,-7.995343835969334e-17,1.171160824781897e-16,6.520556408095273e-18,-3.9347396199349385e-16,9.916583966931538e-17,2.7241259857034063e-16,-2.62176231872552e-16,3.259822841120426e-17,2.4324157796029057e-16,7.642761077718811e-17,-3.095331027997111e-16,1.9894711494926e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.174866500790654e-20,-5.345120353179406e-21,1.0,1.0,2
-1.5,0.3499999940395355,2.421923688364385e-16,-2.476029340620907e-17,-5.358664472949277e-16,-4.3059359272013746e-16,-9.978484870019086e-17,1.7695680291466849e-16,3.786774346054841e-16,4.6138790399712485e-18,-4.0483311315247686e-20,-2.724339596824792e-16,2.322849950293194e-16,1.2417976981239036e-17,2.438255542378632e-16,1.5678536178540756e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.973792173427988e-20,-2.476229787162844e-20,1.0,1.0,2
-1.5,0.36250001192092896,7.683248458504178e-16,5.963787589794608e-17,1.1135719811403632e-16,-1.2318224127884939e-16,-1.0498032380552212e-16,1.1720417390470415e-16,-1.9998780080408032e-16,3.07831360669118e-16,2.8840823344408685e-17,2.77183309813681e-17,-3.763984395213372e-16,-3.824419600429925e-17,-6.70135211652813e-17,2.1676465151810123e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.647842884938546e-21,-9.101292180923369e-21,1.0,1.0,2
-1.5,0.375,6.981710095901953e-17,-4.157661552469978e-17,-1.3944326216288222e-17,3.662125440758041e-17,-1.9611464669980898e-17,-6.307269127919393e-18,1.3031771300096862e-16,-6.981710095901953e-17,4.157661552469978e-17,1.3944326216288222e-17,-3.662125440758041e-17,1.9611464669980898e-17,6.307269127919393e-18,-1.3031771300096862e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4937431711696298e-19,1.4937431711696298e-19,1.0,1.0,2
-1.5,0.38749998807907104,2.4610952564057523e-16,7.337434155246707e-17,-1.2792574489748168e-16,7.026084034426238e-17,-4.228353267886597e-16,-5.751745464594804e-17,1.1229654441765154e-16,3.285734770117017e-16,-2.8955774979773954e-17,-2.5294539916227265e-16,-1.2060284066600283e-16,4.5924716884364374e-17,2.4980232459280796e-17,3.1565511283533035e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.613434753509428e-20,4.517820106399114e-20,1.0,1.0,2
-1.5,0.4000000059604645,-4.699038624066175e-16,-2.5955130323879053e-16,6.10732791061869e-17,-1.4729642225423206e-16,-2.0845108931524928e-16,4.674222676293992e-16,1.300335731518342e-16,-3.4890308830897256e-16,6.745705540973224e-17,3.6053496825714224e-16,-1.0800003596715311e-16,-3.9590891701905395e-16,-2.764416166630741e-16,-4.972314746256462e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2232105368157656e-20,-2.0455079968669245e-21,1.0,1.0,2
-1.5,0.4124999940395355,5.217964359476458e-16,3.8637344361533866e-16,-5.161160675672359e-17,-2.7855713438840093e-16,1.0789511637825688e-16,1.7115338314633525e-16,3.222930982847255e-16,2.728051189320542e-16,-2.844700331651668e-16,-5.692068684738289e-17,-1.2187721497003672e-16,4.176485536233725e-17,2.246358375293598e-16,-3.6142093825019064e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.719856937107198e-20,-5.861775990530964e-20,1.0,1.0,2
-1.5,0.42500001192092896,7.755306610118286e-17,1.2888522808592888e-17,1.5547786055220215e-16,3.3527689575627224e-16,-1.4097290109522753e-17,1.9813772202859932e-16,-2.533625628887954e-16,3.096193942812126e-16,-9.871631134327364e-16,2.8043738871262787e-18,-4.4768401106076497e-17,-6.434121162603279e-17,3.223279325146813e-17,2.6872121906003903e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134009531175261e-20,-1.3006062078171725e-20,1.0,1.0,2
-1.5,0.4375,-1.4264911510862826e-15,1.2227826918869387e-15,-5.917034415130825e-16,3.2054355173217173e-16,1.325277278394735e-16,-1.9007611242288612e-16,2.6125317771828163e-16,1.4264911510862826e-15,-1.2227826918869387e-15,5.917034415130825e-16,-3.2054355173217173e-16,-1.325277278394735e-16,1.9007611242288612e-16,-2.6125317771828163e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.250400369178963e-20,4.250400369178963e-20,1.0,1.0,2
-1.5,0.44999998807907104,-8.94720796305599e-16,6.191555146357983e-16,-1.5220385321793766e-16,-6.520150593286754e-17,9.234903100637608e-17,-1.3782447632156085e-16,-6.691800099512164e-16,-1.379174778921914e-16,-1.173625028913917e-16,-1.6915087814501788e-16,4.10067443309324e-17,-2.664549393962683e-16,-2.3332454268361683e-16,-4.9804981433181224e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.494220088452587e-21,-3.8881317731499626e-20,1.0,1.0,2
-1.5,0.4625000059604645,3.365348190922837e-16,1.856300497176381e-16,1.1674291979717111e-17,5.4712164242703057e-17,-1.9137343602583469e-16,-2.1724715589557076e-16,2.63967230099962e-16,2.1398241298416687e-16,-2.523379441901933e-16,-1.1483798736654926e-16,1.689047224296119e-16,-2.593061930796788e-16,1.0334416055389224e-16,-1.5038909505461267e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.7903337898524286e-20,2.3388808085336753e-20,1.0,1.0,2
-1.5,0.4749999940395355,-3.6694624004424885e-16,1.598761188354895e-16,2.5674855062566486e-16,1.6606070343008717e-16,-1.6967979728101898e-16,2.9863310812162527e-18,-9.609653306687816e-18,1.7361928134424973e-16,1.165296312762243e-16,1.0275409622701121e-16,-3.4849450079104077e-16,1.1094873632755764e-16,9.283636611862292e-17,-1.719216817341643e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.353855979947002e-20,-5.900852519655852e-20,1.0,1.0,2
-1.5,0.48750001192092896,-3.2047028338223424e-16,1.593286311490978e-16,-1.1357899200446395e-16,1.2961458301051894e-16,2.7840159796346136e-16,-2.243064475919963e-16,1.6990334780464511e-16,-1.0841112487925726e-16,-2.0108963184978056e-16,1.2312282985853338e-16,7.471978721473153e-17,-1.352529967902601e-17,4.775842277767275e-16,7.684798231012633e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.9250237688213558e-20,8.577389908262093e-20,1.0,1.0,2
-1.5,0.5,-3.297600510567968e-17,2.829778919843497e-17,2.4703442937069527e-18,-1.1593378826558399e-17,3.1081778046545495e-17,-2.0349091400696485e-17,3.8482472824370665e-18,3.297600510567968e-17,-2.829778919843497e-17,-2.4703442937069527e-18,1.1593378826558399e-17,-3.1081778046545495e-17,2.0349091400696485e-17,-3.8482472824370665e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.725417756287579e-20,8.725417756287579e-20,1.0,1.0,2
