feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,labels
-0.3775914,0.22039352,-0.21535043,0.15740825,-0.15429574,0.12817429,-0.13848168,-0.34799865,0.23101719,-0.19498411,0.12248563,-0.18472569,0.15656608,-0.121724136,-0.33484927,0.21837693,-0.17577228,0.16541946,-0.1744269,0.14575127,-0.1455684,0.056499805,0.0365613,0.05653833,0.1912289,0
-0.38305935,0.2253493,-0.21692266,0.16055277,-0.15887147,0.1278927,-0.14078116,-0.3455909,0.24289991,-0.19847697,0.12728766,-0.18707146,0.15871021,-0.12072011,-0.32736456,0.22177306,-0.17991196,0.16672094,-0.17496334,0.13896221,-0.14146405,0.050498076,0.041863915,0.060808316,0.18922597,0
-0.37166613,0.21970274,-0.21667205,0.1603215,-0.15072668,0.12723047,-0.13667704,-0.34619796,0.22613251,-0.19493306,0.121924005,-0.18611756,0.15693435,-0.12365185,-0.33887658,0.2198398,-0.1765448,0.16357717,-0.1788446,0.14488386,-0.14653999,0.052628223,0.033985246,0.06494918,0.19061151,0
-0.38004094,0.21990374,-0.21700533,0.1584194,-0.15348834,0.12539113,-0.13718899,-0.3503073,0.23327222,-0.19429815,0.12286637,-0.18228686,0.1557014,-0.12101117,-0.33847585,0.2171349,-0.17736179,0.16526917,-0.17080003,0.14376315,-0.14298552,0.053359006,0.03485721,0.060723126,0.18694419,0
-0.38512114,0.22313637,-0.21684268,0.15937766,-0.15773366,0.12820812,-0.13902101,-0.35179657,0.2418647,-0.1957514,0.12501763,-0.18563369,0.15899184,-0.12191847,-0.32978016,0.22222252,-0.17936248,0.16840369,-0.17481226,0.13923009,-0.14113748,0.052910555,0.04242334,0.057635352,0.19088545,0
-0.37662828,0.22581899,-0.21978097,0.16376004,-0.15409093,0.12918523,-0.14079548,-0.3474272,0.23227273,-0.1984901,0.12442566,-0.1880529,0.15757203,-0.12733567,-0.32975194,0.21870297,-0.17573847,0.16244833,-0.17768174,0.14432392,-0.14515713,0.053918675,0.034325425,0.057386704,0.19181517,0
-0.37745145,0.22933567,-0.22198124,0.16326739,-0.1611537,0.13127807,-0.14382073,-0.3458051,0.23934992,-0.19840986,0.12772374,-0.1894168,0.16272858,-0.12545557,-0.32945263,0.21546572,-0.1733064,0.16336209,-0.17221372,0.14353302,-0.14245734,0.054279767,0.03686494,0.057704203,0.19659719,0
-0.37116605,0.22223073,-0.21901809,0.16344441,-0.1541673,0.13152197,-0.13958727,-0.34351927,0.22981876,-0.19613926,0.1251327,-0.19009207,0.15963754,-0.12672144,-0.33252007,0.21375093,-0.17154631,0.16017394,-0.17474237,0.14198428,-0.14283434,0.053152304,0.03360566,0.063734554,0.19095773,0
-0.36972642,0.22129937,-0.21677859,0.16292639,-0.15413587,0.12977614,-0.14036682,-0.3406006,0.22924043,-0.19626227,0.12449703,-0.18971118,0.15937592,-0.12664285,-0.33502972,0.22041245,-0.17634849,0.16365975,-0.18020429,0.14610039,-0.14591327,0.053774387,0.034139622,0.065828554,0.19412446,0
-0.37000367,0.21986663,-0.21456996,0.1620723,-0.15491876,0.12978446,-0.14062034,-0.34176332,0.22874397,-0.19511996,0.12468874,-0.18857338,0.15918715,-0.12488431,-0.33705968,0.21710384,-0.17543522,0.16269696,-0.1768839,0.14606439,-0.14607862,0.0536958,0.035545368,0.064440355,0.19476926,0
